Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4,Client_0,Client_1,Client_2,Client_3,Client_4
1067,1499,1399,1308,1206,1297,1398,1486,1571,1655,835,948,1051,1252,1163,1148,1451,1371,1300,1228,744,834,1148,1036,941
677,1250,1129,1051,970,1125,1242,1440,1341,1530,901,1058,1173,1413,1298,1170,1467,1391,1323,1252,679,765,1041,954,850
479,1389,1287,1179,1043,932,1038,1369,1156,1252,4208,4314,4729,4596,4461,1160,1550,1437,1335,1250,2242,2507,3743,3593,3022
2065,2449,2349,2255,2156,1411,1510,1585,1684,1753,952,1059,1320,1242,1150,1590,2000,1899,1810,1721,709,994,1325,1207,1108
1073,1178,1731,1272,1598,1208,1553,1629,1685,1754,1137,1225,1534,1441,1351,1187,1547,1452,1368,1282,1313,1441,1687,1631,1548
1041,1466,1381,1272,1168,1112,1226,1375,1462,1310,1012,1109,1379,1288,1187,1074,1408,1320,1241,1160,1225,1347,1670,1568,1463
2361,2719,2636,2542,2896,3023,3144,3239,3343,3427,1630,1794,2058,1975,1889,2388,2771,2686,2592,2502,1229,1335,1688,1552,1453
811,1448,1340,1127,1244,1746,1886,2002,2090,2180,791,967,1296,1196,1086,1342,1689,1609,1533,1445,1044,1175,1287,1480,1390
891,1203,1105,998,1316,1089,1249,1359,1447,1526,707,927,1216,1120,1030,989,1398,1477,1327,1253,887,985,1169,1264,1079
1867,3001,3245,3186,3108,3271,3369,3449,3532,3618,2597,2710,3020,2914,2808,3081,3334,3422,3253,3172,2593,2690,2939,2837,2768
1275,1975,1866,1487,1638,1552,1876,1977,2059,2153,1197,1321,1747,1576,1466,1586,1930,1842,1767,1691,1150,1273,1577,1476,1380
1122,1789,1697,1599,1498,952,1050,1135,1484,1605,850,950,1240,1344,1054,1223,1640,1554,1455,1365,980,1111,1439,1348,1233
2962,3368,3273,3177,3078,2963,3348,3747,3618,3490,3018,3098,3303,3220,3153,6436,8207,8070,7613,7129,2074,2187,2455,2379,2290
1197,1639,2094,1857,1766,858,996,1234,1334,1127,1133,1243,1514,1439,1346,1831,2229,2153,2059,1957,936,1215,1753,1643,1333
1751,2104,2214,1994,1880,1951,2053,2158,2252,2343,951,1051,1656,1543,1147,2075,2450,2355,2266,2174,672,986,1300,1216,1123
3202,5112,4856,4339,3796,1577,1792,2255,2112,1977,2173,2267,2347,3367,3270,6018,6893,6783,6686,6571,4342,4810,4985,5242,5478
901,1214,1321,1110,1008,1001,1097,1257,1174,1339,1862,2105,2493,2408,2301,1292,1641,1546,1473,1396,968,1181,1796,1639,1458
