Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9,Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9
1858,2009,2123,2237,2359,2459,2553,2652,2760,2875,2291,2514,2400,2613,2809,2712,2919,3031,3130,3243
979,1054,1121,1189,1257,1330,1399,1463,1587,1654,677,832,753,903,1057,976,1140,1347,1505,1423
1383,1452,1513,1576,1637,1696,1752,1809,1865,1924,1296,1408,1352,1456,1554,1504,1614,1666,1717,1770
909,1001,1086,1163,1219,1282,1338,1388,1442,1500,812,895,863,959,1063,990,1143,1203,1271,1322
878,943,999,1061,1112,1167,1223,1277,1384,1458,676,829,779,880,1077,935,1138,1215,1342,1274
819,869,911,977,1027,1079,1129,1181,1234,1286,687,737,799,855,960,908,1015,1128,1066,1178
1453,1721,1973,1852,2419,2519,2613,2712,2805,2900,559,1608,1542,2057,2170,2116,2223,2285,3079,3140
1368,1409,1442,1477,1518,1549,1580,1611,1643,1673,1224,1318,1282,1354,1452,1396,1507,1567,1623,1678
711,775,845,909,969,1033,1089,1149,1208,1262,537,832,797,865,928,896,970,1022,1063,1133
699,738,770,802,833,864,901,933,965,998,993,1115,1061,1169,1283,1229,1335,1551,1436,1491
1168,1234,1281,1327,1377,1431,1494,1552,1604,1656,1490,1606,1551,1659,1759,1710,1817,1865,1914,1961
758,802,844,892,949,999,1049,1110,1160,1210,628,699,667,729,793,761,835,867,898,928
1222,1574,1667,1741,1812,1872,1930,2004,2066,2131,1778,1907,1844,2148,2270,2208,2327,2382,2435,2502
428,670,718,769,828,894,955,1021,1083,1158,782,885,836,937,1036,986,1086,1243,1180,1299
938,1006,1073,1129,1187,1244,1311,1368,1529,1598,712,816,767,863,960,911,1009,1059,1107,1169
861,921,978,1034,1092,1151,1222,1277,1391,1458,631,760,699,820,1057,880,1120,1192,1256,1318
1687,1759,1821,1883,1944,2413,2477,2534,2588,2640,1565,1702,1636,1762,1887,1825,1948,2010,2073,2138
671,720,783,843,899,954,1018,1058,1096,1142,675,1045,735,1088,1165,1128,1203,1241,1278,1324
1028,1073,1109,1162,1216,1259,1462,1554,1621,1685,863,944,908,980,1049,1015,1086,1124,1159,1202
1275,1364,1450,1531,1608,1733,1803,1874,1946,2036,949,1086,1013,1157,1317,1236,1395,1471,1556,1627
928,1020,1103,1186,1269,1356,1575,1649,1726,1796,972,1134,1057,1210,1367,1294,1636,1716,1794,1860
2773,2898,2986,3067,3153,3247,3332,3416,3518,3599,1762,1945,1861,2027,2192,2112,2268,2935,2425,2504
1229,1311,1385,1458,1534,1611,1686,1763,1830,1885,839,994,920,1069,1221,1143,1296,1582,1654,1496
1037,1126,1208,1289,1369,1447,1526,1605,1682,1758,696,789,746,1034,1122,1080,1164,1205,1259,1302
1011,1092,1170,1236,1321,1410,1489,1577,1675,1748,1102,1271,1191,1342,1513,1421,1603,1689,1774,1880
